Configuration,ChangedComponent,Multiplier,Algorithm,EnvironmentSeed,AlgorithmSeed,EvaluationAvailable,Feasible,EnergyWh,TimeS,ClimbCost,DynamicRisk,TotalPenalty,RescoredJ,ArchivedJ
Base,None,1,RA-ALA,483,547,1,1,8.15383604693111,100.076807823234,0.704259938927398,0.0538581536037746,0,10.9349108593506,10.9349108593506
Base,None,1,RA-ALA,483,600,1,1,10.2101142994544,114.746500703153,1.23538478999675,0.057097753708506,0,14.2080822557259,14.2080822557259
Base,None,1,RA-ALA,483,653,1,1,8.37556242093647,99.9873343046541,1.01146715337534,0.0350967733224698,0,11.582692246784,11.582692246784
Base,None,1,RA-ALA,638,702,1,0,8.23397536500022,97.8205988004526,0.75701166246113,0.00904236212027807,1.40581453545686,151.235047513482,151.235047513482
Base,None,1,RA-ALA,638,755,1,0,7.02677102508788,91.7284720419171,0.474283540416426,0,0.00731132783877769,9.47087482348114,9.47087482348114
Base,None,1,RA-ALA,638,808,1,0,8.18729613111483,96.0898794880488,1.42969974096802,0.0117410121574056,0.00672470906483107,12.6373256368418,12.6373256368418
Base,None,1,RA-ALA,855,919,1,1,10.4688215699344,109.778947290673,2.00086905054339,0.0149783377903816,0,15.5351676096806,15.5351676096806
Base,None,1,RA-ALA,855,972,1,1,6.46161315814858,85.6703971184415,0.0462568768313119,0,0,7.26804688779822,7.26804688779822
Base,None,1,RA-ALA,855,1025,1,1,8.42830672182967,95.3962387352999,1.07621052646887,0.000632490601668396,0,11.3820213369116,11.3820213369116
Base,None,1,RA-ALA,948,1012,1,1,6.71512535054084,86.5737965397211,0.360644721777344,4.36686298008747e-05,0,8.15829978489121,8.15829978489121
Base,None,1,RA-ALA,948,1065,1,1,6.8562078496853,87.0212696096227,0.372091825736634,0.00342566853403561,0,8.35982543324578,8.35982543324578
Base,None,1,RA-ALA,948,1118,1,1,7.25548039279388,88.8059320718881,0.631208807328431,0.0019556928595471,0,9.27750436997862,9.27750436997862
Base,None,1,RA-ALA,1041,1105,1,1,8.59263336384759,96.3632050301627,1.1194258916925,8.65873129914025e-05,0,11.6353777289472,11.6353777289472
Base,None,1,RA-ALA,1041,1158,1,0,13.1048079297605,144.089631499926,2.00977813103307,0.0174057276582073,0.869523440304532,105.451512428028,105.451512428028
Base,None,1,RA-ALA,1041,1211,1,0,9.69148667919162,114.011664307467,1.28114107797731,0,0.869714132321639,100.175279269872,100.175279269872
Base,None,1,RA-ALA,1103,1167,1,1,5.784049788273,70.5129852525987,0.494738189502689,0.0131083945624939,0,7.49221832334164,7.49221832334164
